observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
29556,a27-1-23,61402.59025462963,90,1.3269874999999998,2.4966666666666666,1.1974104686920142,23.18325137050906,21.455573125206037,r
29557,a36-2-24,61402.59149305555,90,34.019025,-0.1011111111111111,0.9432488910233717,23.52287217790968,21.64633033992732,r
29558,a27-1-24,61402.59149305555,90,1.3269874999999998,-0.1011111111111111,0.8478063955141631,23.550778168326087,21.455573125206037,r
29559,a36-2-25,61402.592731481476,90,36.67300833333333,-0.1011111111111111,1.263914133286772,23.211355871156464,21.64633033992732,r
29560,a27-1-25,61402.592731481476,90,3.980970833333333,-0.1011111111111111,1.0727526030449819,23.30054180060827,21.455573125206037,r
29561,a27-1-26,61402.59396990741,90,3.980970833333333,2.4966666666666666,1.077213500676371,23.296118543607072,21.455573125206037,r
29562,a36-2-26,61402.59396990741,90,36.67300833333333,2.4966666666666666,0.8719416893541386,23.606217171069808,21.64633033992732,r
29563,a36-2-27,61402.59520833333,90,36.67300833333333,5.094444444444444,1.0642106161087679,23.39465184692694,21.64633033992732,r
29564,a27-1-27,61402.59520833333,90,3.980970833333333,5.094444444444444,1.3392009804183473,23.06362911000911,21.455573125206037,r
29565,s27-1-01,61402.846371527776,90,154.44115416666665,-1.001111111111111,0.9253189012021522,22.35780647760216,19.1481613889038,r
29566,s27-1-02,61402.8476099537,90,154.44115416666665,1.596666666666667,0.8799974516923162,22.411906650874066,19.1481613889038,r
29567,s27-1-03,61402.848848379625,90,154.44115416666665,4.194444444444445,0.8616495531787149,22.434598804143157,19.1481613889038,r
29568,s27-1-04,61402.850086805556,90,157.0951375,4.194444444444445,1.266012451178813,22.019660193179185,19.1481613889038,r
29569,s27-1-05,61402.85132523148,90,157.0951375,1.596666666666667,1.1488198759565171,22.124510184321405,19.1481613889038,r
29570,s27-1-06,61402.852563657405,90,157.0951375,-1.001111111111111,1.147299731168506,22.12593900249587,19.1481613889038,r
29571,s27-1-07,61402.85380208333,90,159.74911666666665,-1.001111111111111,0.9673556287982603,22.30992814753423,19.1481613889038,r
29572,s27-1-08,61402.855040509254,90,159.74911666666665,1.596666666666667,1.1934725019027246,22.083357602685716,19.1481613889038,r
29573,s27-1-09,61402.856278935185,90,159.74911666666665,4.194444444444445,1.225149978090058,22.05508088443773,19.1481613889038,r
29574,s27-1-10,61402.85751736111,90,162.4031,4.194444444444445,1.3298920950097444,21.804191356775576,18.81907695454853,r
29575,s27-1-11,61402.858755787034,90,162.4031,1.596666666666667,1.2326242548843136,21.88626581942618,18.81907695454853,r
29576,s27-1-12,61402.85999421296,90,162.4031,-1.001111111111111,0.8607714171153038,22.27382080497363,18.81907695454853,r
29577,s27-1-13,61402.86123263888,90,165.0570833333333,-1.001111111111111,1.0093116687957107,22.102100264320903,18.81907695454853,r
29578,s27-1-14,61402.862471064815,90,165.0570833333333,1.596666666666667,1.0423918306178204,22.067292540661963,18.81907695454853,r
