observationId,field,observationStartMJD,t_exp,fieldRA,fieldDEC,seeingFwhmEff,fiveSigmaDepth,skyBrightness,filter
0,a27-1-01,61226.76913194444,90,342.7491166666666,-0.1011111111111111,1.1074792291746107,22.01832807141385,18.85236374609145,r
1,a27-1-02,61226.77037037037,90,342.7491166666666,2.4966666666666666,1.0605155382554066,22.065107765684285,18.85236374609145,r
2,a27-1-03,61226.77160879629,90,342.7491166666666,5.094444444444444,0.9631849681325182,22.16899061055096,18.85236374609145,r
3,a27-1-04,61226.77284722222,90,345.40309999999994,5.094444444444444,0.9767783162750208,22.1538711902392,18.85236374609145,r
4,a27-1-05,61226.77408564815,90,345.40309999999994,2.4966666666666666,0.9821112916230182,22.147996531977544,18.85236374609145,r
5,a27-1-06,61226.77532407407,90,345.40309999999994,-0.1011111111111111,1.0156407153478153,22.1117722285834,18.85236374609145,r
6,a27-1-07,61226.7765625,90,348.05708333333325,-0.1011111111111111,1.5063052487105213,21.68597910753414,18.85236374609145,r
7,a27-1-08,61226.77780092592,90,348.05708333333325,2.4966666666666666,1.2734530870445888,21.867494578928024,18.85236374609145,r
8,a27-1-09,61226.77903935185,90,348.05708333333325,5.094444444444444,1.0252061542868312,22.101655744171676,18.85236374609145,r
9,a27-1-10,61226.780277777776,90,350.7110625,5.094444444444444,1.2694833468526272,21.82027604568535,18.749948719605484,r
10,a27-1-11,61226.7815162037,90,350.7110625,2.4966666666666666,1.3015825700534325,21.7932878966459,18.749948719605484,r
11,a27-1-12,61226.782754629625,90,350.7110625,-0.1011111111111111,1.300727909615304,21.793997846738154,18.749948719605484,r
12,a27-1-13,61226.78399305556,90,353.3650458333333,-0.1011111111111111,1.1480025449624196,21.928955916236408,18.749948719605484,r
13,a27-1-14,61226.78523148148,90,353.3650458333333,2.4966666666666666,1.2561071272458808,21.83172347813244,18.749948719605484,r
14,a27-1-15,61226.786469907405,90,353.3650458333333,5.094444444444444,1.483878004645638,21.6515724353624,18.749948719605484,r
15,a27-1-16,61226.78770833333,90,356.01902499999994,5.094444444444444,1.2203861250790289,21.8628987157318,18.749948719605484,r
16,a27-1-17,61226.78894675925,90,356.01902499999994,2.4966666666666666,1.311552406001456,21.78504025633135,18.749948719605484,r
17,a27-1-18,61226.79018518519,90,356.01902499999994,-0.1011111111111111,1.6361988526606592,21.54587701384811,18.749948719605484,r
18,a27-1-19,61226.79142361111,90,358.67300833333326,-0.1011111111111111,1.195868124614868,21.9510944868976,18.88415565142225,r
19,a27-1-20,61226.79266203704,90,358.67300833333326,2.4966666666666666,1.4669550131757398,21.730306446150923,18.88415565142225,r
20,a27-1-21,61226.79390046296,90,358.67300833333326,5.094444444444444,1.2810211024665317,21.87678815803036,18.88415565142225,r
21,a27-1-22,61226.79513888888,90,1.3269874999999998,5.094444444444444,1.4994236978829838,21.706637401593767,18.88415565142225,r
22,a27-1-23,61226.796377314815,90,1.3269874999999998,2.4966666666666666,1.2598966371073712,21.89475300301446,18.88415565142225,r
23,a27-1-24,61226.79761574074,90,1.3269874999999998,-0.1011111111111111,1.403080540668091,21.778431923069764,18.88415565142225,r
24,a27-1-25,61226.79885416666,90,3.980970833333333,-0.1011111111111111,1.3266191398312346,21.83899479425448,18.88415565142225,r
25,a27-1-26,61226.80009259259,90,3.980970833333333,2.4966666666666666,1.6202456201315656,21.62283273780448,18.88415565142225,r
26,a27-1-27,61226.80133101852,90,3.980970833333333,5.094444444444444,1.6054035561319622,21.632785713029502,18.88415565142225,r
27,a27-1-01,61226.80480324074,90,342.7491166666666,-0.1011111111111111,1.2769642141479245,22.286545364549248,19.30819658026885,g
28,a27-1-02,61226.80604166666,90,342.7491166666666,2.4966666666666666,1.4658452234551944,22.137419528111156,19.30819658026885,g
29,a27-1-03,61226.80728009259,90,342.7491166666666,5.094444444444444,1.2813148279905338,22.282869616952983,19.30819658026885,g
