event_id,mass1,mass2,mej_dyn,mej_wind,mej_total,cos_theta,redshift
1,1.339611157182009,1.2082366340828115,0.002251605791439296,0.03752544337103074,0.03977704916247003,0.3745401188473625,0.1420671192544329
2,1.3858420236684588,1.3112421895729423,0.0024280115544268684,0.06773227371121829,0.07016028526564516,0.9507143064099162,0.19648138353843755
3,1.3930628437542876,1.3619151817258528,0.002504296444321741,0.05592949010015316,0.058433786544474904,0.7319939418114051,0.17929496616813778
4,1.3604396796074534,1.3378976299050718,0.0023798407090037323,0.04915784784678533,0.05153768855578906,0.5986584841970366,0.16715592497104917
5,1.3796436393103908,1.300100768568847,0.0023996613116149127,0.025838338257407025,0.028237999569021937,0.15601864044243652,0.10514699624888398
6,1.3578662376451796,1.3139961431681313,0.0023401128542093353,0.025847363111763288,0.028187475965972625,0.15599452033620265,0.1051414386801389
7,1.3708613530371818,1.3228172836241678,0.0023880534438211697,0.020651134268609976,0.023039187712431144,0.05808361216819946,0.07512401383103257
8,1.4970796262708146,1.1941236681974208,0.0035233064456337564,0.06329529825128503,0.06681860469691879,0.8661761457749352,0.19016842649866852
9,1.3374317570692058,1.1684568066677254,0.0022901298406992608,0.04956282976716083,0.05185295960786009,0.6011150117432088,0.167394337647241
10,1.439573067049477,1.3994204404320785,0.0027012691768911975,0.053939778496289344,0.05664104767318054,0.7080725777960455,0.17722699853196472
11,1.341170178046137,1.3203290817753919,0.0023046525800579794,0.018703709234475865,0.021008361814533843,0.020584494295802447,0.052957272868135376
12,1.7373245427804118,1.3670996956538057,0.00575448198932592,0.051465267714844366,0.057219749704170285,0.9699098521619943,0.19786512415648425
13,1.5585411928592683,1.2851958113932629,0.0036572315965769635,0.060313606098071175,0.06397083769464813,0.8324426408004217,0.18754102870050926
14,1.3581947634991964,1.1905001291302224,0.0023659588757584896,0.02892654607768437,0.03129250495344286,0.21233911067827616,0.11685316745737147
15,1.335950849483369,1.1925483059726631,0.002249297251834961,0.027316716241964936,0.029566013493799895,0.18182496720710062,0.11080140423639781
16,1.3412179321423432,1.3382469746795325,0.0023365738864083397,0.027284742585992935,0.029621316472401276,0.18340450985343382,0.11113013871798451
17,1.3529432539357409,1.2718795326738603,0.0022921221669085284,0.0337406476176933,0.03603276978460183,0.3042422429595377,0.13223348083477632
18,1.3425218965564807,1.2121364289420875,0.002261930691718767,0.04548374517839077,0.04774567587010954,0.5247564316322378,0.15967169838048223
19,1.302052460350227,1.2878145821527736,0.002165021587578809,0.04053664418631381,0.042701665773892616,0.43194501864211576,0.14925041459882632
20,1.3656108152335493,1.1766943236395349,0.0024365503854899494,0.0331117378729139,0.03554828825840385,0.2912291401980419,0.13025708427983315
21,1.3276973264445735,1.3113125644977437,0.002259014640093046,0.04999565715484151,0.05225467179493455,0.6118528947223795,0.1684292758616619
22,1.382226352832325,1.2299382851531253,0.0024356870864984327,0.02503150536864133,0.02746719245513976,0.13949386065204183,0.10120032825501227
23,1.3673653661656688,1.3537369702553195,0.0024238181831648747,0.03293862335946492,0.0353624415426298,0.29214464853521815,0.1303979621586547
24,1.341419448312795,1.2406941093201291,0.0022452787662567983,0.03706899519734634,0.03931427396360314,0.3663618432936917,0.14098758273942388
25,1.3487865428020687,1.2783572387612683,0.0022807459260650396,0.04177232967632983,0.04405307560239487,0.45606998421703593,0.15208685662336935
26,1.381786976052817,1.163021340376106,0.002581898508517514,0.059296588964422546,0.06187848747294006,0.7851759613930136,0.1837440187953301
27,1.330271344678953,1.1788361908265852,0.0022379987027656497,0.02826956551102356,0.03050756421378921,0.19967378215835974,0.1144143260409533
28,1.3441519652257146,1.262048324665738,0.0022576481926643104,0.044877559827912236,0.047135208020576545,0.5142344384136116,0.15855261642088878
