event_id,mass1,mass2,mej_dyn,mej_wind,mej_total,cos_theta,redshift
301,1.3073556384114298,1.1759509030487736,0.0021351428030255033,0.02042536800424296,0.022560510807268463,0.0516817211686077,0.07221203605966518
302,1.3629980123777943,1.345619286418364,0.002398858822443216,0.045577218072494256,0.04797607689493747,0.531354631568148,0.16036618352869442
303,1.318832291943059,1.2795481101800232,0.002193492931866579,0.04628464761983685,0.04847814055170343,0.5406351216101065,0.16133375980905956
304,1.3297417125005717,1.1751225868314237,0.0022401966986773584,0.05148950192974633,0.05372969862842369,0.6374299014982066,0.17084884495966227
305,1.4186652424641393,1.403252501793921,0.002647153971879327,0.055074467748419856,0.05772162172029918,0.7260913337226615,0.17878871709566324
306,1.5113265843522379,1.1750229458590553,0.0038775454254349633,0.06910177705356557,0.07297932247900053,0.9758520794625346,0.1982899857711915
307,1.3407091595032237,1.3221831331509786,0.0023065585019331155,0.0448983201911643,0.04720487869309741,0.5163003483011953,0.15877348221739712
308,1.4157565205684874,1.293505606770952,0.0025509763579158427,0.03459113132468681,0.03714210768260265,0.32295647294124596,0.13498273008252584
309,1.5236888593037652,1.2221868270961407,0.003646356557767948,0.05930184875713425,0.0629482053149022,0.7951861947687037,0.1845599601618967
310,1.3928714316679711,1.196984835858671,0.002560559433825851,0.032002540311839425,0.03456309974566528,0.2708322512620742,0.12704161632623645
311,1.335943075606597,1.1915600842498315,0.002250242314282308,0.04095264854265747,0.04320289085693978,0.4389714207056361,0.15008675444178107
312,1.3409383086990052,1.2388515383675747,0.002243721035614444,0.021817172207906445,0.024060893243520887,0.07845638134226596,0.08318904057039178
313,1.3756432723707217,1.186271910862768,0.0024764236018580002,0.019010014099341103,0.021486437701199103,0.02535074341545751,0.05679213716514539
314,1.4871800049323196,1.3399619488404741,0.0028970201542493643,0.06730060612291192,0.07019762627716128,0.9626484146779251,0.1973437148801839
315,1.6125218206498246,1.1761958675138162,0.005967982848567741,0.0611314362918636,0.06709941914043134,0.8359801205122058,0.18781966697605948
316,1.4403070310147503,1.2924497533189452,0.002678107748883261,0.05415342052814418,0.05683152827702744,0.695974206093698,0.1761642430290041
317,1.4191411820017739,1.345004878651473,0.0025708474699137284,0.0389304118583458,0.04150125932825953,0.4089529444142699,0.14645133198146454
318,1.3716322700715649,1.317204911436866,0.0023846350901067037,0.02673720334757715,0.02912183843768385,0.17329432007084578,0.1089932995610362
319,1.3199570539400627,1.3131710968440062,0.0022454598908149864,0.025911735524896208,0.028157195415711194,0.15643704267108605,0.10524332828266492
320,1.3777365622424849,1.239625941404519,0.0024043908999820595,0.030889977688485684,0.033294368588467745,0.25024289816459533,0.12363360499198421
321,1.3436776670381032,1.322212917435826,0.002313524970778398,0.046631935810961284,0.04894546078173968,0.5492266647061205,0.16222012980855424
322,1.3152635629694762,1.2970307806170294,0.0022083803039191522,0.055477248704929455,0.057685629008848605,0.7145959227000623,0.17779526222478745
323,1.338195446718876,1.2707816798114966,0.002242012091280629,0.05260219452807545,0.05484420661935608,0.6601973767177313,0.17295132589307055
324,1.355621465352329,1.1939846979524518,0.002346347718999498,0.0325093427355618,0.0348556904545613,0.27993389694594284,0.12849503412033406
